Actual_Rainfall,Predicted_Rainfall
2960.4999999999995,2918.0796
2365.8,2891.2556
2957.8,2753.859
2741.3,2758.9863
2937.4999999999995,2738.3826
2612.4000000000005,2766.943
3275.0000000000005,2727.9893
2352.1,2817.357
2943.200000000001,2713.3855
2606.4,2732.202
3554.2,2695.3918
3079.5955034680696,2855.7388
2349.6348575532675,2919.421
2480.5,2794.269
3282.200000000001,2694.3584
2442.9,2783.272
2998.3,2714.217
2926.6,2744.7314
3075.1000000000013,2779.5662
2357.7000000000007,2832.0222
1771.2257592275105,2729.6538
2987.5000000000005,2492.6357
3722.7999999999997,2535.8774
3154.0000000000005,2785.6729
3081.781711690175,2896.0022
3591.1,2936.3027
3264.3999999999996,3072.5579
2782.5,3113.666
3007.5,3031.604
2898.200000000001,2993.935
1420.6494849020075,2954.4944
2791.6000000000013,2623.3242
3092.1118631906243,2579.7183
3489.5999999999995,2653.865
2422.2000000000007,2831.0247
3275.1,2760.527
3079.9,2838.3828
2722.0,2883.2356
3449.0,2843.4985
3349.6000000000013,2948.6494
3079.9,3033.4912
2507.2,3055.516
2807.4,2923.7136
3343.4,2858.5925
3025.1,2927.138
3938.1999999999994,2948.489
2959.7,3144.5376
2981.700000000001,3114.0847
3054.8,3067.6477
3163.9000000000005,3032.3245
2701.2000000000007,3032.5168
3216.599999999999,2943.4116
2762.8,2975.1514
2619.2000000000007,2917.3472
3370.9000000000005,2824.994
2998.700000000001,2908.9346
3323.1000000000013,2914.3274
2990.9999999999995,2989.4456
2962.1000000000013,2984.013
3085.5999999999995,2960.9124
3275.9999999999995,2964.028
2388.2,3016.184
2712.4,2870.8555
1849.3,2800.4639
3625.3,2576.6646
3074.7,2736.2627
2384.5,2819.1147
2792.5000000000005,2726.1055
2820.3,2710.753
2630.8,2714.7783
2187.9,2681.6965
2763.9,2556.144
3323.1000000000013,2569.0635
2533.7000000000007,2716.228
2183.2,2700.733
2535.6,2568.495
2098.6,2523.526
2237.4,2419.0496
3263.1000000000013,2348.9807
3115.4999999999995,2513.4429
2996.9,2660.538
2755.1,2753.1826
2846.4,2756.1453
2699.7,2756.5422
2763.1,2733.99
3080.8,2727.8005
2620.1,2788.0938
2355.7000000000007,2755.544
2460.0000000000005,2657.7595
2954.5,2579.2815
2404.7,2627.6404
2748.2000000000007,2575.7659
